Gene_Name,logFC,PValue
FBXO32,0.7433049,1.35E-01
GJB6,0.90789538,1.35E-01
EMD,0.22421593,1.35E-01
SS18,-0.18737391,1.35E-01
C22orf39,0.10668797,1.35E-01
SSR2,-0.15595226,1.35E-01
TAS2R46,-0.11392198,1.35E-01
MLLT1,0.13299597,1.35E-01
PRY /// PRY2,0.09962091,1.35E-01
SORCS1,-0.753797,1.35E-01
OR4A16,0.13088099,1.35E-01
ARRB1,-0.39548193,1.35E-01
GPR68,-0.09154139,1.35E-01
ZMYND11,-0.22128023,1.35E-01
LOC100293612,0.09604325,1.35E-01
CPT1C,0.23154916,1.35E-01
MAFF,0.61109772,1.35E-01
INO80B /// LOC729859 /// WBP1,-0.22951043,1.35E-01
PF4,-0.51560985,1.35E-01
PPIC,0.48648022,1.35E-01
TNRC6A,-0.15451693,1.35E-01
AICDA,0.12189079,1.35E-01
RRM2B,-0.12449728,1.35E-01
PSMD14,0.20231581,1.35E-01
C14orf28,-0.21264167,1.35E-01
RSL24D1,0.18456657,1.35E-01
NPEPPS,0.14658105,1.35E-01
C10orf27,0.10987431,1.35E-01
LOC100287132,0.11155732,1.35E-01
TEK,-0.55146485,1.35E-01
GNRHR,0.10619335,1.35E-01
RAB23,0.3656131,1.35E-01
C3orf21,-0.23741225,1.35E-01
MRPS36,-0.20438921,1.35E-01
SRCRB4D,0.20020843,1.35E-01
F9,0.11846576,1.35E-01
AMELY,-0.16775763,1.35E-01
NOC3L,-0.21927434,1.35E-01
NAT10,0.24682456,1.35E-01
DEPDC6,-0.58132826,1.35E-01
CLDN4,0.12456735,1.35E-01
ASPH,-0.29170573,1.35E-01
XIAP,0.1566982,1.35E-01
PAIP1,0.37678782,1.36E-01
FBN2,-0.78050656,1.36E-01
MOSPD2,-0.32309747,1.36E-01
C6orf134,-0.2770083,1.36E-01
SAR1A,0.24493228,1.36E-01
C21orf67,0.22232195,1.36E-01
ALKBH2,0.35066032,1.36E-01
MRPL12,0.27307708,1.36E-01
CEACAM22P,0.12791867,1.36E-01
ZNF202,0.2817202,1.36E-01
NAA40,-0.23201501,1.36E-01
ANKMY1,0.15174472,1.36E-01
PYCR2,0.15293029,1.36E-01
ACPL2,-0.1911578,1.36E-01
GADL1,0.16143961,1.36E-01
PEMT,0.25719741,1.36E-01
TMEM8C,0.0801729,1.36E-01
PACSIN1,0.22893382,1.36E-01
MTBP,-0.18215523,1.36E-01
PRDM10,0.09150169,1.36E-01
TMEM143,-0.12581622,1.36E-01
ATP11A,-0.15291087,1.36E-01
TSSK6,0.13561552,1.36E-01
FMOD,0.21022561,1.36E-01
DDX3Y,1.54048609,1.36E-01
KIR2DL1 /// KIR2DL2,0.14380938,1.36E-01
TTTY6,-0.09041935,1.36E-01
MERTK,0.8124407,1.36E-01
ETNK2,0.09670247,1.36E-01
OGFR,-0.22602364,1.36E-01
LCK,-0.64282099,1.36E-01
CDV3,-0.16762996,1.36E-01
LGR6,0.18597855,1.36E-01
USP48,-0.25130546,1.36E-01
ERBB2IP,-0.21313622,1.36E-01
TAZ,0.20277022,1.36E-01
SLC25A21,-0.11097674,1.36E-01
LMAN2L,-0.17399409,1.36E-01
LOC139201 /// MAP2K4,-0.20408682,1.36E-01
ADAM19,0.16767324,1.36E-01
LIAS,-0.30191388,1.36E-01
GTF2H1,-0.19469104,1.36E-01
KRT38,0.13746744,1.36E-01
LOC221710,0.21449262,1.36E-01
---,0.18323559,1.36E-01
PGRMC1,-0.46122691,1.36E-01
DCTN4,-0.12769364,1.36E-01
TMEM57,0.18051345,1.36E-01
---,0.08893045,1.36E-01
TGM4,0.13868318,1.36E-01
CLCF1,0.85479049,1.36E-01
AFP,0.08878431,1.36E-01
EFS,-0.62480317,1.36E-01
RPL34,0.08835897,1.37E-01
RHBDF2,-0.09231824,1.37E-01
KIF7,0.18501038,1.37E-01
GPR126,0.56570684,1.37E-01
TIAL1,0.14480566,1.37E-01
GAS7,-0.44308615,1.37E-01
ACR /// LOC645529,0.18466026,1.37E-01
TREX1,-0.33130607,1.37E-01
ZNF90,0.18806881,1.37E-01
LRWD1,-0.22043914,1.37E-01
TBX18,0.79925469,1.37E-01
RTTN,0.21104316,1.37E-01
OXER1,-0.19817075,1.37E-01
OLFML2A,-0.14789683,1.37E-01
CRIPT,0.22516815,1.37E-01
PIGT,-0.15723746,1.37E-01
HBG1,0.73987882,1.37E-01
FAM3D,0.12244342,1.37E-01
USP53,-0.75379375,1.37E-01
BAK1,-0.19881248,1.37E-01
AMBP,0.13032708,1.37E-01
MRPL17,0.32578498,1.37E-01
WIF1,0.09731375,1.37E-01
MAF,0.16220476,1.37E-01
PHF8,-0.17435499,1.37E-01
FGL2,0.57500939,1.37E-01
TMEM87B,0.32765249,1.37E-01
GPR157,0.14475367,1.37E-01
PRKX /// PRKY,-0.35650264,1.37E-01
PRKAG2,0.25435651,1.37E-01
SMTNL1,0.117972,1.37E-01
SNTN,0.09051164,1.37E-01
BRD3,-0.23580964,1.37E-01
ITFG2,-0.26719044,1.37E-01
RPS13,0.08765645,1.37E-01
KIAA1609,-0.19079968,1.37E-01
ZNF782,0.17359808,1.37E-01
MGAT3,0.14783652,1.37E-01
ANKRD28,-0.48920404,1.37E-01
HSPA13,-0.27830023,1.37E-01
ANKS1B,-0.34335292,1.37E-01
SHISA5,-0.12961131,1.37E-01
SECTM1,0.84991335,1.37E-01
NOTCH2NL,-0.31826761,1.37E-01
WDR67,-0.2208555,1.37E-01
SLC2A5,-0.25799326,1.37E-01
HIST1H2AC,0.52715117,1.37E-01
PGPEP1,-0.24019569,1.38E-01
CXCR5,0.13238902,1.38E-01
RGPD1 /// RGPD2 /// RGPD3,0.76689729,1.38E-01
XIRP1,0.18540857,1.38E-01
GALK2,-0.36145616,1.38E-01
FMR1NB,0.10717069,1.38E-01
MGLL,0.35862164,1.38E-01
ZNF76,-0.0956914,1.38E-01
ZHX3,0.30465874,1.38E-01
IL2RB,-0.69938572,1.38E-01
C1orf88,-0.261308,1.38E-01
CCDC50,0.2680182,1.38E-01
ORAI3,-0.215397,1.38E-01
IDO2,0.09528488,1.38E-01
KIR3DP1,0.13327541,1.38E-01
SLC17A2,0.11240922,1.38E-01
FLVCR2,0.68383543,1.38E-01
FXYD4,0.1234655,1.38E-01
RABGAP1,-0.31914075,1.38E-01
REXO1L1,0.08826741,1.38E-01
POSTN,-1.29623599,1.38E-01
HNMT,0.56297783,1.38E-01
DEXI /// LOC100133165,0.1622182,1.38E-01
CRIPT,0.2215027,1.38E-01
CTCFL,0.1204773,1.38E-01
ADAM15,-0.16469892,1.38E-01
PM20D2,0.15789163,1.38E-01
ACP2,-0.34064698,1.38E-01
RPL22,0.0755992,1.38E-01
ZNF785,-0.15278883,1.38E-01
LYRM2,-0.16138697,1.38E-01
C12orf28,0.12077859,1.38E-01
LOC100286937 /// LOC100287164 /// RASA4,-0.41711851,1.38E-01
ZCCHC4,-0.17018456,1.38E-01
WBSCR17,0.18603338,1.38E-01
KLF3,-0.13522013,1.38E-01
CCDC58,-0.34196032,1.38E-01
ALOXE3,0.09779813,1.38E-01
NUFIP2,-0.25553525,1.38E-01
DUX4 /// LOC441056 /// LOC653543 /// LOC653544 /// LOC653545 /// LOC653548 /// LOC728410,0.12908783,1.38E-01
PCIF1,-0.17881147,1.38E-01
C11orf49,0.13956674,1.38E-01
TSC22D3,-0.74058862,1.38E-01
PDCD11,0.2023522,1.38E-01
BANP,-0.19874645,1.38E-01
MLL5,-0.26356305,1.38E-01
MARVELD3,0.13858028,1.38E-01
GLI2,0.11144267,1.38E-01
HDAC6,-0.26949088,1.38E-01
EFHD2,-0.54154401,1.38E-01
FLT4,0.14086524,1.38E-01
ALDH9A1,0.14066369,1.38E-01
ZFP62,-0.22130233,1.38E-01
PHF6,-0.11389625,1.38E-01
AGER,0.23898582,1.38E-01
TBC1D9B,-0.17347831,1.38E-01
ACY1,0.12944993,1.38E-01
COX10,0.13787341,1.38E-01
HSD17B7P2,-0.29685954,1.38E-01
APOLD1,0.11924173,1.38E-01
CRIP2,-0.23666931,1.38E-01
CDC14B,-0.30525381,1.38E-01
SDR16C5,0.11746331,1.39E-01
TBRG1,-0.16850458,1.39E-01
DHRS4 /// DHRS4L2,0.18578755,1.39E-01
CSPP1,-0.17489781,1.39E-01
LOC647859 /// OCLN,0.24641902,1.39E-01
NIT1,0.18898106,1.39E-01
GPR116,-0.33211803,1.39E-01
ARID1B,0.13688027,1.39E-01
FAM127A,0.15446678,1.39E-01
TLE4,0.26924907,1.39E-01
MYO10,0.67554552,1.39E-01
PAX5,0.19003195,1.39E-01
PADI6,0.11355436,1.39E-01
PPP1R8,-0.12000367,1.39E-01
TMEM27,0.19702361,1.39E-01
NOL12,0.11891187,1.39E-01
SPC25,-0.13315059,1.39E-01
VKORC1L1,-0.22508697,1.39E-01
PCGF5,-0.234148,1.39E-01
TRERF1,-0.22001281,1.39E-01
FGA,0.11924695,1.39E-01
DYX1C1,-0.13884393,1.39E-01
IL17RE,-0.16534151,1.39E-01
HES2,-0.16060969,1.39E-01
TRIM8,-0.24621015,1.39E-01
AFTPH,0.10704287,1.39E-01
SEC24D,0.28433353,1.39E-01
PRKCI,0.16387288,1.39E-01
SPATA18,-0.38453251,1.39E-01
ERH,0.10023875,1.39E-01
TIGD7,0.12433027,1.39E-01
AGFG2,0.14914022,1.39E-01
TRIM64,0.08956096,1.39E-01
MKI67IP,0.11451634,1.39E-01
KRTAP10-12,0.19480985,1.39E-01
RAP2C,-0.27769736,1.39E-01
C14orf39,0.15471755,1.39E-01
PLEKHA7,0.15520144,1.39E-01
B4GALT1,-0.15812094,1.39E-01
HSPA4,0.17811284,1.39E-01
CDC42BPA,-0.25240974,1.39E-01
MTTP,0.14888266,1.39E-01
ST13,0.2350474,1.40E-01
SYBU,1.36332624,1.40E-01
PICALM,-0.21100657,1.40E-01
AAA1,0.11537424,1.40E-01
UBR7,-0.35349575,1.40E-01
SPEF2,-0.38399388,1.40E-01
NUTF2,0.1474986,1.40E-01
ACVR1B,0.23894854,1.40E-01
MTL 5.00,0.10264074,1.40E-01
OSR1,0.3248121,1.40E-01
GRLF1,-0.33109161,1.40E-01
KTN1,0.15815418,1.40E-01
FAF1,-0.17420372,1.40E-01
IHH,0.11797272,1.40E-01
NUP88,-0.22497061,1.40E-01
DGCR14,-0.32116836,1.40E-01
TMPRSS11F,0.09735068,1.40E-01
CCDC9,0.26896039,1.40E-01
OGFOD1,0.29214323,1.40E-01
KRT82,0.13849946,1.40E-01
SERPINB3 /// SERPINB4,0.14072287,1.40E-01
DNTTIP2,0.14348807,1.40E-01
FAM164C,0.37174976,1.40E-01
HDAC4,0.12284286,1.40E-01
CDADC1,-0.20975112,1.40E-01
ZNF334,-0.30353573,1.40E-01
PSMD11,0.11173994,1.40E-01
RAB11A,-0.15532763,1.40E-01
DDX54,-0.15603897,1.40E-01
C9orf91,-0.27347224,1.40E-01
POLR1A,0.24775394,1.40E-01
ATP6V1C2,0.09583762,1.40E-01
ITGB7,0.13906918,1.40E-01
ARSK,-0.62301856,1.40E-01
GAD2,0.09414064,1.40E-01
LOC100132288 /// MAFIP /// TEKT4P1,0.15206599,1.40E-01
PTPN2,0.1644314,1.40E-01
RFTN2,-0.61279977,1.40E-01
TSC2,0.14805586,1.40E-01
ACADSB,-0.31730793,1.40E-01
KIRREL3,-0.12496842,1.41E-01
ASPH,-0.27289163,1.41E-01
PLSCR1,0.45865256,1.41E-01
TMEM38B,0.1978225,1.41E-01
ABHD13,-0.26624612,1.41E-01
KCNE2,0.1667655,1.41E-01
MRS2,-0.20449136,1.41E-01
PROX1,0.42260895,1.41E-01
TSPAN18,0.67113297,1.41E-01
SEMA4F,0.12247089,1.41E-01
RCOR3,-0.15253331,1.41E-01
MAPK9,-0.18414343,1.41E-01
SIPA1L3,0.09529798,1.41E-01
ABCA1,0.67087909,1.41E-01
MBL1P,0.16024573,1.41E-01
ARID5A,0.55270577,1.41E-01
PDS5B,-0.21171501,1.41E-01
SLC25A35,0.11787111,1.41E-01
FAM89B,0.27524921,1.41E-01
ICAM1,0.89266872,1.41E-01
TKTL1,0.08211452,1.41E-01
OR6K6,0.10138565,1.41E-01
IL17RE,-0.43211368,1.41E-01
TRIM72,0.13028306,1.41E-01
CCDC74A,0.24879956,1.41E-01
CDC42,-0.46942029,1.41E-01
---,0.16498082,1.41E-01
NCR1,0.17180975,1.41E-01
C9orf142,0.19824259,1.41E-01
IER5L,0.42582825,1.41E-01
SIRT6,-0.16038421,1.41E-01
SPANXB1 /// SPANXB2 /// SPANXF1,0.11748556,1.41E-01
ISY1,0.13719033,1.41E-01
ZFP28,0.09423843,1.41E-01
ZNF395,0.35401934,1.41E-01
ETFDH,0.14241572,1.41E-01
MYO5C,0.13832428,1.41E-01
PRKAR2A,-0.19859256,1.41E-01
MEFV,0.12452904,1.41E-01
SMC1B,-0.14128299,1.41E-01
FBXO11,-0.13001011,1.41E-01
FOXN4,0.10078342,1.41E-01
REXO1,0.17339653,1.41E-01
ZNF135,-0.33980187,1.41E-01
AMOTL1,0.28256963,1.41E-01
NOVA1,0.10843556,1.41E-01
C19orf22,0.31689806,1.41E-01
KIAA1211,0.096031,1.41E-01
NMRAL1,0.19196491,1.41E-01
TRIT1,-0.16215101,1.41E-01
ACAT2,0.36822495,1.41E-01
CLEC4G,0.12251761,1.42E-01
IER3IP1,-0.28067967,1.42E-01
LRRC8B,0.50239928,1.42E-01
PIGP,0.26382448,1.42E-01
SLC39A9,0.13618939,1.42E-01
CEACAM21,-0.28606906,1.42E-01
ATG4A,-0.13486384,1.42E-01
CTBS,-0.29647364,1.42E-01
DPY19L1,0.22347622,1.42E-01
RICTOR,0.17390024,1.42E-01
RABGGTB,0.19688975,1.42E-01
DTWD2,0.10592453,1.42E-01
CYB561D1,0.13261177,1.42E-01
ABI1,-0.14293534,1.42E-01
TAF6,-0.16508701,1.42E-01
UGGT1,0.39120599,1.42E-01
RDH11,-0.25686628,1.42E-01
EPHB3,0.57949667,1.42E-01
PICK1,0.29583482,1.42E-01
STAG3L4,-0.26055318,1.42E-01
UPF1,0.16657132,1.42E-01
RRP8,0.21260887,1.42E-01
STK38L,-0.45152043,1.42E-01
TMEM123,0.20880217,1.42E-01
NR4A1,0.32336375,1.42E-01
BACH2,-0.09553183,1.42E-01
TBC1D1,0.15626214,1.42E-01
ZBED1,-0.23598741,1.42E-01
TMEM68,0.24334998,1.42E-01
SLC2A10,-0.30964197,1.42E-01
KDELR2,-0.33636141,1.42E-01
SLC9A3R2,0.26751011,1.42E-01
XPO7,0.20069639,1.42E-01
TNN,-0.28433614,1.42E-01
PHLPP2,0.12033776,1.42E-01
PMPCB,0.16238051,1.42E-01
PPP1R15A,-0.39915053,1.42E-01
RAC1,-0.08861943,1.42E-01
KLRD1,-0.22585105,1.42E-01
TOM1,0.35412614,1.42E-01
RBPJ,0.36212664,1.42E-01
FAM124A,0.18598514,1.42E-01
TMEM68,-0.19621891,1.42E-01
HCFC1,-0.0931297,1.42E-01
POLK,0.20863927,1.42E-01
DISC1 /// TSNAX /// TSNAX-DISC1,-0.12923809,1.42E-01
SPINT1,0.46152354,1.42E-01
GTPBP1,0.29231841,1.42E-01
PAX6,0.13539674,1.42E-01
ALDH1A3,0.19421972,1.42E-01
WDR77,0.12581503,1.42E-01
IPO7,-0.16667756,1.42E-01
PLCE1,0.38024021,1.43E-01
BRD2,-0.16951224,1.43E-01
DSTYK,-0.21256099,1.43E-01
ADRA2C,0.33226251,1.43E-01
IKBKG,-0.12275044,1.43E-01
ZNF124,-0.37041414,1.43E-01
PPP1CB,0.12909173,1.43E-01
KLHL15,0.24412469,1.43E-01
CNST,-0.17154855,1.43E-01
NEURL,-0.14213846,1.43E-01
KLRB1,-0.71474012,1.43E-01
CACNB2,-0.30298317,1.43E-01
EEF1G /// LOC642357 /// TUT1,-0.12056774,1.43E-01
AFTPH,-0.20387938,1.43E-01
SETD3,0.17596422,1.43E-01
SLC5A7,0.08944485,1.43E-01
SRPK2,0.1942848,1.43E-01
TCP11,0.10442359,1.43E-01
CYP4F2,0.17612633,1.43E-01
WHSC1,-0.25308301,1.43E-01
OR6N1,0.10093261,1.43E-01
PMS2L11,0.1888126,1.43E-01
NCAPG,-0.33592504,1.43E-01
ARHGEF38,0.11850477,1.43E-01
SLC2A4,0.13071943,1.43E-01
LMO4,-0.20735477,1.43E-01
GFRA1,-0.77059234,1.43E-01
MAOA,0.10477236,1.43E-01
QRSL1,-0.27841214,1.43E-01
ADAM22,-0.11371917,1.43E-01
ZNF281,0.2541174,1.43E-01
OR1L8,-0.10003217,1.43E-01
SPAG6,-0.27320965,1.43E-01
CUL7,0.22334682,1.43E-01
ALDH3B1,-0.355785,1.43E-01
TPP1,-0.4019274,1.43E-01
BSPRY,0.2218412,1.43E-01
NOLC1,0.29978355,1.43E-01
TAF1C,0.17774221,1.44E-01
DIAPH1,0.4145497,1.44E-01
FDXACB1,0.14583544,1.44E-01
PBX1,-0.46264871,1.44E-01
IFT20,-0.17098786,1.44E-01
C5orf35,-0.21166269,1.44E-01
ZDHHC3,0.21848263,1.44E-01
B3GALNT1,-0.36154739,1.44E-01
TMEM39B,-0.14769232,1.44E-01
RAB7A,-0.16952702,1.44E-01
C9orf167,-0.50190619,1.44E-01
ZNF484,0.18134694,1.44E-01
ANKS4B,0.10549824,1.44E-01
CCNB1IP1,-0.11060665,1.44E-01
FEM1C,-0.36977252,1.44E-01
PHYHIPL,-0.43268765,1.44E-01
SNX11,-0.19918824,1.44E-01
MPO,0.12493577,1.44E-01
SLC38A10,0.37109166,1.44E-01
C12orf23,0.16583355,1.44E-01
KCNE4,0.85114462,1.44E-01
TSPAN12,-0.10372155,1.44E-01
SLC38A2,0.24670629,1.44E-01
TRIM27,-0.18593214,1.44E-01
NOX5,-0.10371979,1.44E-01
IRF2BP2,-0.34042283,1.44E-01
NEK4,-0.24186603,1.44E-01
FLOT1,-0.16716847,1.44E-01
ZNF268,-0.14170675,1.44E-01
ABHD12,0.34463787,1.44E-01
RC3H2,-0.16057289,1.44E-01
TMBIM4,-0.18982751,1.44E-01
SENP2,-0.21740389,1.44E-01
PABPN1L,0.10717216,1.44E-01
LRRC3B,0.11374219,1.44E-01
ZNF709,-0.13213846,1.44E-01
FAM120B,-0.21935605,1.44E-01
LRRC27,0.14165236,1.44E-01
CELA2A,0.14979191,1.44E-01
SUSD4,0.10492895,1.44E-01
C2orf60,-0.20648057,1.44E-01
GALE,0.20927255,1.44E-01
ACVR1B,-0.4610426,1.44E-01
XRN1,-0.25409244,1.44E-01
TRAPPC10,0.14967514,1.44E-01
ST6GALNAC5,-0.60462525,1.44E-01
TPRKB,-0.17907373,1.44E-01
TECPR2,-0.25628559,1.44E-01
---,0.09455575,1.44E-01
SLC39A8,0.15720583,1.44E-01
CNOT3,-0.19232692,1.44E-01
C8orf40,-0.2218059,1.44E-01
HELQ,0.13917987,1.44E-01
QSER1,-0.67151632,1.44E-01
ZMYND8,-0.40030698,1.44E-01
UBE2D3,0.14127387,1.44E-01
LTF,0.34530063,1.44E-01
DCTN2,-0.17263113,1.44E-01
UPF0639,0.12563219,1.44E-01
ABI1,-0.26662921,1.44E-01
PMM2,0.11653638,1.44E-01
SNRNP35,-0.09692552,1.44E-01
CLPX,-0.18805957,1.44E-01
THAP3,0.25227995,1.45E-01
TMEM68,0.17753554,1.45E-01
KCNA7,0.1516599,1.45E-01
SEC31A,0.11338869,1.45E-01
PTPMT1,0.20488496,1.45E-01
EP400,-0.18694665,1.45E-01
NUTF2,0.1378563,1.45E-01
GALNT3,0.1952147,1.45E-01
C10orf118,-0.26978322,1.45E-01
CYorf15A,0.26647916,1.45E-01
AGTR1,0.37558853,1.45E-01
ASB16,0.13808216,1.45E-01
FLJ14186 /// LOC728728 /// LOC729218,0.14368556,1.45E-01
SUB1,0.14993036,1.45E-01
WASF3,0.46268693,1.45E-01
ZNF639,-0.30558675,1.45E-01
LRRC59,0.27174971,1.45E-01
SCAMPER,0.11345331,1.45E-01
FOXO3,0.39683235,1.45E-01
CYB5A,0.26965241,1.45E-01
KRT85,0.12926803,1.45E-01
PKD1L2,-0.32930311,1.45E-01
THBS1,-0.21570269,1.45E-01
FAM5C,0.20965493,1.45E-01
BGLAP,0.20054077,1.45E-01
C6orf118,0.08404863,1.45E-01
ZBTB2,0.19339668,1.45E-01
TTTY6,0.10659893,1.45E-01
SETD8,-0.13413923,1.45E-01
UBE2L3,0.30691062,1.45E-01
ABCC6 /// LOC100292715,-0.09254695,1.45E-01
TSPAN5,-0.57255626,1.45E-01
HEXIM1,-0.29980335,1.45E-01
MBD1,-0.09426334,1.45E-01
TARM1,0.12946317,1.45E-01
LRRC23,0.31025091,1.45E-01
ZNF268,-0.20816614,1.45E-01
PAK6,-0.10665787,1.45E-01
TCEAL7,-0.68458893,1.45E-01
GPR20,0.10239797,1.45E-01
ERG,0.27256748,1.45E-01
SCARNA14,0.1376279,1.45E-01
CHRNA10,-0.12525521,1.45E-01
GLS,0.29678874,1.45E-01
UBN2,0.24005218,1.45E-01
GTF3C2,0.14407609,1.45E-01
STAM2,-0.15178903,1.45E-01
PHF11,-0.08428518,1.45E-01
FERMT2,-0.25635039,1.45E-01
POSTN,-1.27092801,1.45E-01
GALNT12,0.18233876,1.45E-01
AMY1A /// AMY1B /// AMY1C /// AMY2A /// AMY2B,0.36061526,1.45E-01
YIPF2,0.11730249,1.45E-01
CREBZF,0.27355698,1.45E-01
TUSC2,0.29460306,1.45E-01
TTL,-0.18585646,1.45E-01
NEUROD2,0.12390391,1.45E-01
---,0.12199513,1.45E-01
EID3,0.15755566,1.46E-01
SMC5,-0.25295327,1.46E-01
TMPRSS2,0.12721456,1.46E-01
NARG2,-0.19369075,1.46E-01
RPL8,0.10446901,1.46E-01
TMEM178,-0.52449953,1.46E-01
OGN,1.00988469,1.46E-01
ZNF791,0.25742377,1.46E-01
PBX1,-0.53474305,1.46E-01
RBM26,-0.24238263,1.46E-01
LGALS8,0.32201066,1.46E-01
CNBP,-0.3021095,1.46E-01
FXYD1,-0.72979442,1.46E-01
C9orf72,0.39863618,1.46E-01
BAT3,0.12960731,1.46E-01
SUV420H1,0.23738849,1.46E-01
CXCL5,0.16305405,1.46E-01
ALS2,-0.38811809,1.46E-01
GSPT1,0.22337522,1.46E-01
TUBBP5,0.10872746,1.46E-01
KIAA1598,-0.37545391,1.46E-01
C19orf48,0.25870451,1.46E-01
C9orf91,0.12656642,1.46E-01
HLA-E,-0.43208453,1.46E-01
PSEN2,-0.12861369,1.46E-01
PFKFB4,-0.12511942,1.46E-01
KLHDC1,-0.39720798,1.46E-01
CBLN4,0.14660741,1.46E-01
NAV3,-0.10925106,1.46E-01
RPL41 /// RPL41P5,0.112981,1.46E-01
GBP4,-0.19353329,1.46E-01
PIGU,0.28366798,1.46E-01
ZFYVE27,0.21411965,1.46E-01
HMGCS2,-0.14581835,1.46E-01
PTPN4,0.35700351,1.46E-01
NKX3-2,0.1350116,1.46E-01
S100A2,0.20648803,1.46E-01
AAA1,0.08684205,1.46E-01
MESP1,0.26423309,1.46E-01
GRIK4,0.1047468,1.46E-01
GATS /// GATSL1 /// GATSL2,-0.24846353,1.46E-01
JMJD5,-0.13972644,1.46E-01
TSGA14,-0.24007656,1.46E-01
RABGGTA,0.24759491,1.46E-01
ALAD,0.37493374,1.46E-01
LSM 3.00,-0.14833852,1.46E-01
MLC1,0.16060244,1.46E-01
ZSWIM7,-0.33800811,1.46E-01
SLC30A6,-0.18329309,1.46E-01
C7orf47,0.15639488,1.46E-01
CYP2C9,0.09251414,1.46E-01
ARMC10,0.17289306,1.46E-01
YIPF3,0.18113129,1.46E-01
GNPNAT1,0.19177986,1.46E-01
GPR56,0.53726767,1.46E-01
POLR2C,-0.29933874,1.46E-01
FGFR4,0.18625181,1.46E-01
ZFHX3,-0.29360715,1.46E-01
KCNMA1,0.18743546,1.47E-01
SYNGR2,-0.3102578,1.47E-01
ATP13A1,0.18667456,1.47E-01
GSG1L,0.1044047,1.47E-01
LOC613206,0.15403002,1.47E-01
HTR2A,-0.315144,1.47E-01
SNRPB,-0.20113118,1.47E-01
GGT6,0.12052537,1.47E-01
SLC35F1,-0.22796713,1.47E-01
C19orf2,-0.15589062,1.47E-01
SFRS11,0.15595155,1.47E-01
AMBP,-0.12909895,1.47E-01
SPTBN4,0.14843738,1.47E-01
HPN,0.18010135,1.47E-01
KLRC1 /// KLRC2,-0.23377119,1.47E-01
AASDH,-0.19284507,1.47E-01
GAN,-0.17522477,1.47E-01
PPFIA3,0.13718833,1.47E-01
SLC3A1,0.12274607,1.47E-01
CNN1,1.02116893,1.47E-01
ANP32D,0.12987473,1.47E-01
FAM89B,0.27711385,1.47E-01
MYBPC3,0.14059413,1.47E-01
PRICKLE2,0.29954312,1.47E-01
TRIM62,0.12411596,1.47E-01
RPL14,0.12148716,1.47E-01
UBXN8,-0.30149713,1.47E-01
PCBP2,-0.13578081,1.47E-01
SOX15,0.52474826,1.47E-01
FAM26D,-0.22465563,1.47E-01
PAGE5,0.14886935,1.47E-01
PDDC1,-0.15806659,1.47E-01
LMOD1,-0.58301884,1.47E-01
COMMD6,-0.13441708,1.47E-01
AMN,0.10690017,1.47E-01
TMEM182,-0.14070776,1.47E-01
EIF2AK1,0.11978235,1.47E-01
IL16,0.24700666,1.47E-01
VPS53,-0.16741101,1.47E-01
TP73,-0.12066397,1.47E-01
DIS3L2,0.22272883,1.47E-01
NIPSNAP1,-0.25839836,1.47E-01
PIGL,-0.1369171,1.47E-01
RBBP6,-0.24017644,1.47E-01
TNFRSF13C,0.11974641,1.47E-01
FZD1,-0.40383736,1.47E-01
DOCK10,-0.42135561,1.47E-01
WDR85,0.16793511,1.47E-01
C1QTNF9 /// SPATA13,0.12267937,1.47E-01
OBSL1,-0.64339969,1.47E-01
MTA2,-0.20492709,1.47E-01
ACOT8,0.18596349,1.47E-01
VPS45,-0.14126891,1.47E-01
SRA1,-0.25978341,1.47E-01
SLC45A2,0.15361473,1.47E-01
KIF3B,0.19209431,1.47E-01
MOCS1,-0.13995117,1.47E-01
APOBEC2,-0.10496744,1.48E-01
NR5A2,0.12614281,1.48E-01
C16orf13,0.24369008,1.48E-01
FAM119A,0.28366447,1.48E-01
GOT2,-0.21624292,1.48E-01
TRAJ17,0.12057589,1.48E-01
LOC100132062 /// LOC100133161 /// LOC100133331 /// LOC653340 /// LOC729737,-0.15444701,1.48E-01
PPP2R3C,0.13186951,1.48E-01
KIF1A,0.81463982,1.48E-01
TMEM127,-0.19912341,1.48E-01
AFAP1L1,0.46806666,1.48E-01
ABHD4,0.13317717,1.48E-01
YPEL5,-0.19436074,1.48E-01
SPTY2D1,-0.18475962,1.48E-01
LOC100130933,0.14145113,1.48E-01
RFPL2,0.12737424,1.48E-01
LRRIQ1,0.17606036,1.48E-01
TMEM87A,-0.13017293,1.48E-01
CDH24,0.14872438,1.48E-01
TMEM85,0.14850073,1.48E-01
CABC1,0.09234927,1.48E-01
VHLL,0.13206378,1.48E-01
DYRK1A,-0.10730703,1.48E-01
TMOD3,0.27349123,1.48E-01
G6PC,0.08723826,1.48E-01
---,0.11698109,1.48E-01
YWHAH,0.2868547,1.48E-01
GRHL2,0.10035489,1.48E-01
HTR3E,0.13621864,1.48E-01
WDR4,0.18728876,1.48E-01
DLD,-0.16137974,1.48E-01
CNNM3,0.32210805,1.48E-01
ZNF146,-0.16068566,1.48E-01
SELE,0.81401823,1.48E-01
RUNX2,0.11439948,1.48E-01
PDCD1,0.14196419,1.48E-01
PCNX,-0.19866557,1.48E-01
OR52N4,-0.18525885,1.48E-01
GRIA4,0.18109999,1.48E-01
FOXP1,0.1984902,1.48E-01
